Year	Country	What we tested	What we hoped to learn	What we learnt
2022	Indonesia	Scripts / Keywords	What keyword / situation is the most relevant to the audience; - money; - family; - God	"Find peace in God won
Cost per ITJ AUD0.0036"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with sub; - Multiple Image with sub; - Video; - Synthesia with background	"Syhntesia format won
Cost per ITJ AUD0.0040"
2022	Indonesia	Scripts / Keywords	What reason is the most relevant to the audience; - greedy; - lazy; - get rich quickly	"Lazy won
Cost per ITJ AUD0.0032"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with sub; - Multiple Image with sub; - Video; - Animation	"Multiple Image won
Cost per ITJ S0.0034"
2022	Indonesia	Scripts / Keywords	What keyword attract the audience; - end of pains; - forgiveness of sins; - free from any punishment	"End of pains
 Cost per ITJ AUD0.0041"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with sub; - Multiple Image with sub; - Video; - Synthesia	"Single Image won
 Cost per ITJ AUD0.0045"
2022	Indonesia	Scripts / Keywords	What keyword attract the audience; - Surrender our life; - The key is in Jesus; - The hope is in Jesus	"The key is in Jesus
 Cost per ITJ S0.0046"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with sub; - Multiple Image with sub; - Video; - Animation	"Video won
 Cost per ITJ S0.0044"
2022	Indonesia	Scripts / Keywords	What keyword attract the audience; - Gold and jewelry in heaven; - No more pain in heaven; - No enmity and malice	"No more enmity and envy in heaven seem attract the audience
Cost per ITJ AUD0.0043"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with sub; - Multiple Image with sub; - Video; - Synthesia	"Synthesia format, won
Cost per ITJ AUD 0.0050"
2022	Indonesia	Scripts / Keywords	- Kebaikan diri sendiri; - Menyenangkan orang yang disayangi; - Wujud kecintaan pada Tuhan	"To please people we love, won
Cost per ITJ AUD 0.0022"
2022	Indonesia	Format	- Single Image; - Multiple Image; - Video; - Animation	"Single Image won
 Cost per ITJ AUD 0.0038"
2022	Indonesia	Scripts / Keywords	Which point of view is the most relevant to the audience; - Fear of future; - Problems of life; - Guarantee of wellness	"Problems of life
Cost per ITJ AUD 0.0038"
2022	Indonesia	Format	Which format would interest the audience more; - Close up Female; - Close up Male; - Siluet Color; - Siluet BW	"Close Up - Male, won
Cost per ITJ AUD 0.0034"
2022	Indonesia	Love & Sacrifice Script theme from Africa, Indonesia, Middle East, Pakistan, Bangladesh	- Africa; - Indonesia; - Middle East; - Pakistan; 1E - Bangladesh	"Bangladesh 
Cost per ITJ AUD 0.0021"
2022	Indonesia	Format	Which format would interest the audience more; - Close up Female; - Close up Male; - Siluet Color; - Siluet BW	"Close Up - Male
Cost per ITJ AUD 0.0034"
2022	Indonesia	"*meme approach*
 Script / keywords"	What keyword attract the audience; - Help from God; - Help from others; - Strong mentality	"Strong Mentality
Cost per ITJ AUD 0.0007"
2022	Indonesia	"*meme approach*
 Format"	Which format would interest the audience more; - meme image from script; - 5 minutes DIY style; - cooking tutorial; - face expressions	"Video with cooking tutorial footage won
Cost per ITJ AUD 0.0019"
2022	Indonesia	Script	What keyword attract the audience; - Introspeksi Diri; - Tentukan visi misi; - Lebih semangat	"Tentukan Visi dan Misi won
Cost per ITJ AUD 0.0124"
2022	Indonesia	Format	Which format would interest the audience more; - White BG; - Black BG; - Multiple Image; - Single Image	"Multiple Image won
Cost per ITJ AUD 0.0078"
2022	Indonesia	Script	What keyword attract the audience; - TIndakan Bodoh; - Tindakan Berlebihan; - Tindakan Sia-Sia	"TINDAKAN BODOH won
Cost per ITJ AUD  0.0028"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image; - Multiple Image; - BG Putih; - BG Black	"MULTIPLE IMAGE won
Cost per ITJ AUD 0.0035"
2022	Indonesia	Script	What keyword attract the audience; - Ketakutan; - Kehilangan harta benda; - Ditinggalkan orang yang dicintai	"KETAKUTAN won
Cost per ITJ AUD 0.0020"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image; - Multiple Image; - Bigger Text; - Repurpose Video	REPURPOSE VIDEO won Cost per ITJ AUD 0.0011
2022	Indonesia	Script	Which format would interest the audience more - Hutang yang belum bayar; - Masalah Keluarga; - Sakit yang diderita	"MASALAH KELUARGA won
 Cost per ITJ AUD 0.0079"
2022	Indonesia	Format	Which format would interest the audience more - Meme; - Repurpose Video; - Meme Tutorial; - Cartoon	"REPURPOSE VIDEO won
Cost per ITJ AUD 0.0035"
2022	Indonesia	Script	Which format would interest the audience more- tidak membalas; - melupakan perbuatannya; - berdoa agar berubah	"MELUPAKAN PERBUATANNYA won
Cost per ITJ AUD 0.0078"
2022	Indonesia	Format	Which format would interest the audience more- storytelling video; - image; - single video man; - single video girl	"IMAGE won
Cost per ITJ AUD 0.0035"
2022	Indonesia	Script	Which format would interest the audience more- kepada siapa berdoa; - motivasi berdoa; - cara berdoa	"MOTIVASI BERDOA won
 Cost per ITJ AUD 0.0077"
2022	Indonesia	Format	Which format would interest the audience more- Single Image; - Multiple Image; - Video; - Cartoon	"VIDEO won
 Cost per ITJ AUD 0.0058"
2022	Indonesia	Script	Which format would interest the audience more- dikabulkan segera; - dikabulkan sesuai waktuNya; - dikabulkan bentuk lain	DIKABULKAN BENTUK LAIN won
2022	Indonesia	Script	Which format would interest the audience more- tempat tenang; - mencari arti ayat Kitab Suci; - dekat dengan Tuhan	"TEMPAT TENANG won
 Cost per ITJ AUD 0.0030"
2022	Indonesia	Format	Which format would interest the audience more- Single Video; - Multiple Image; - Multiple Video; - Text with Stickers	"TEXT WITH STICKER won
 Cost per ITJ AUD 0.0023"
2022	Indonesia	Element	Which format would interest the audience more3a - Music Instrumental Slow; 3b - Music Instrumental Muslim; 3c - Music Vokal Remix Anak; 3d - Music Vokal Dewasa	"MUSIC INSTRUMENTAL SLOW won
 Cost per ITJ AUD 0.0028"
2022	Indonesia	Script	Which format would interest the audience more - menyembelih anaknya; - menjadikan kurban; - mempersembahkan anaknya	"MENJADIKAN KURBAN won
 Cost per ITJ AUD 0.0024"
2022	Indonesia	Format	Which format would interest the audience more- image with white BG; - image with black BG; - video with black BG; - video with white BG	"IMAGE w BLACK BG won
Cost per ITJ AUD 0.0017"
2022	Indonesia	Element	Which format would interest the audience more 3a - islamic instrumental song; 3b - slow instrumental song; 3c - remix daerah instrumental song; 3d - upbeat instrumental song	"SLOW INSTRUMENTAL won
 Cost per ITJ AUD 0.0020"
2022	Laos	Scripts	Which topic would interest the audience more; 1A. Misconception of a Purposeful Life; 1B.Overcome Life Unsatisfaction; 1C.Feeling purposeless	Overcome Life Unsatisfaction won - Cost per ITJ AUD 0.014 per 95% view, Cost per ITJ AUD 3.02 per click
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Whiteboard Animation - Render Forest; 2D. Educational Video Toolkit - Render Forest	Whiteboard Animation performed better than other styles - AUD 0.080 per 95% view, AUD 0.28 per click
2022	Laos	"5sec Openings
Stage 4:File Sizes"	Which opening style would interest the audience more; 3A. As in Stage 2; 3B. Text Scrapbook - No animation; 3C. Text Scrapbook - Pop Animation Page; Stage 4:; 4A. Original Size; 4B. Half Size; 4C. Under 10Mb	Female performed better than Male - AUD0.078 per 95% view, AUD0.28 per click
2022	Laos	Scripts	Which topic would interest the audience more; 1A. Jealousy; 1B. Abuse; 1C. Betrayal	Jealousy won - AUD0.074 per 95% view, AUD040 per click
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Synthesia - Woman; 2D. Educational Video Toolkit - Render Forest	"Artblogs - Bitable performed better than other styles - AUD0.064 per 95% view, AUD0.17 per click
 
 
 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Script Test	Which topic would interest the audience more; 1A. Unconditional Love; 1B.Healing for the Broken-hearted; 1C.Everyone deserves to be loved	"Main learning 1 - Healing for the Broken-hearted won - AUD0.066 per 95% view, AUD057per click 
 Main learning 2 - Render Forest - Educational Animation performed better than other styles - AUD0.059 per 95% view, 
 Main learning 3 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1A. Trauma; 1B. Depression; 1C. Suicide (Feeling Lost)	Main learning 1 - Feeling Stressed out won - AUD0.0011 per 95% view
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Biteable; 2C. Clay Animation - Biteable; 2D. Educational Video Toolkit - Render Forest	"Main learning 2 - CLAY ANIMATION performed better than other styles - AUD0.0011 per 95% view, 
 
Main learning 3 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. As in Stage 2; 3B. Meditation Explainer as the 5 Opening - Clay Animation; 3C. Teal Modern Travel as the 5 Opening - Clay Animation	"The Clay Animation 3A 
 same as in Stage 2 
 interests the audience more than 
 the other two videos"
2022	Laos	Scripts	Which topic would interest the audience more; 1A. People who were abused by parents,; 1B. People who were betrayed by parents; 1C.People who were discriminated	Main learning 1 - People who were abused by parents won - AUD0.00 per 95% view AUD0.93 per click
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Wedding Invitation Green White BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Clay Explainer Animation from Biteable; 2D. Educational Animation - Render Forest	Main learning 2 - Clay Animation performed better than other styles - AUD0.00 per 95% view, AUD7.58 per click
2022	Laos	5sec Openings	Which opening style would interest the audience more; 3A Same as in Stage 2; 3B Ink Bloom Opening; 3C Megaphone in Blue Background as the Opening	Yes, Female performed better than Male - Megaphone in Blue Background performed better than other styles - AUD0.00 per 95% view, AUD0.53 per click
2022	Laos	Scripts	Which topic would interest the audience more; 1A. Drug Addiction; 1B. Alcohol Addiction; 1C. Social Media Addiction	Main learning 1 - Alcohol Addiction won - AUD0.0012 per 95% view
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. _x0008_Biteable - Clay Animation; 2D.Render Forest - Educational Animation	Main learning 2 - Render Forest - Educational Animation performed better than other styles - AUD0.0014 per 95% view, AUD1.82 per click
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. same as Stage 2; 3B. megaphone; 3C. smoke	"Main learning 3 - Megaphone in Blue Background performed better than other styles - AUD0.0063 per 95% view, AUD0.54 per click 
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	"New life
 
God Spiritual True Fulfillment (Cambodia)
 
Hope-Happiness Blessed Life (Thai)
 
God/Spiritual - Suffering (Laos)
 
Real Change Purpose / Meaning - Growth (Myanmar)"	Which topic would interest the audience more; God Spiritual True Fulfillment (Cambodia)	Main learning 2 - 25-34 is the most dominant age group, Female performed better than Male
2022	Laos	Sub-topic 1 Fear	Which topic would interest the audience more; 1A. Fear; 1B. Control; 1C.Freedom	Main learning 1 - Freedom, won - AUD0.0018 per 95% view, AUD0.0046 per click
2022	Laos	Sub-topic 2 Control	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. _x0008_Biteable - Clay Animation; 2D.Render Forest - Educational Animation	Main learning 2 - Biteable - Clay Animation performed better than other styles - AUD0.0016 per 95% view
2022	Laos	Sub-topic 3 Freedom	Which opening style would interest the audience more To be confirmed; 3A. same as Stage 2; 3B. Sun Cartoon Animation; 3C. Rotating Earth Cartoon Animation	"Main learning 3 - Rotating Earth Cartoon Animation performed better than other styles - AUD0.0018 per 95% view, AUD0.0054 per click
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1. A Rejection by partner; 2. B Rejection by friend; 3. C Rejection by family	Main learning 1 - Rejection by Family, won - AUD0.0012 per 95% view,
2022	Laos	Format	Which format would interest the audience more; 2A. Same as Stage 1; 2B. Artblogs from Biteable; 2C. Clay Explainer Animation from Bitable; 2D. Educational Kits from Renderforest	Main learning 2 - Educational Kits from Renderforest performed better than other styles - AUD0.0016 per 95% view
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. same as Stage 2; 3B. Sad Emoticon; 3C. Sad Sketch Man Walking	"Main learning 3 - Same as Stage 2 performed better than other styles - AUD0.0018 per 95% view, AUD0.0064 per click
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1. A Self - Blame; 2. B. Criticism; 3. C. Disability	Main learning 1 - Criticism, won - AUD0.0040 per 95% view, AUD0.0022 per click
2022	Laos	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. _x0008_Biteable - Clay Animation; 2D. Render Forest - Educational Animation	Main learning 2 - Text on Abstract BG as in Stage 1 performed better than other styles - AUD0.0042 per 95% view, AUD0.0022 per click
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. Winner from Stage 2 No VO; 3B. Winner from Stage 2 Male VO; 3C. Winner from Stage 2 Female VO	"Main learning 3 - Winner from Stage 2 Female VO performed better than other styles - AUD0.0013 per 95% view, AUD0.0016 per click
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Help; 2 Donation; 3 Self -Cultivation	Main learning 1 - Donation, won - AUD0.0011 per 95% view, AUD0.0069 per click
2022	Laos	Format	Which format would interest the audience more; 2A. - Winning Stage 1 vid; 2B. - Artblog Real Human - Woman; 2C. Clay Animation - Bitable; 2D. White Board Animation - Renderforest	Main learning 2 - Winning Stage 1 vid performed better than other styles - AUD0.0014 per 95% view, AUD0.0045 per click
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. same as Stage 2; 3B. With Male VO; 3C. With Female VO	"Main learning 3 - same as Stage 2 performed better than other styles - AUD0.0017 per 95% view, AUD0.0043 per click
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Addiction; 2 Loneliness; 3 Depression	Main learning 1 - Addiction, won - AUD0.0013 per 95% view, AUD0.0075 per click
2022	Laos	Format	Which format would interest the audience more; 2A. - Stage 1 winner vid; 2B. -Artblog - Google Drive in Canva - Asian women's faces - No VO; 2C. Artblog - Google Drive in Canva - Asian Male faces - No VO; 2D. Educational Tool Kit (Render Forest)	Main learning 2 - Educational Tool Kit (Render Forest) performed better than other styles - AUD0.009 per 95% view,
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. same as Stage 2; 3B. With Male VO; 3C. With Female VO	"Main learning 3 - same as Stage 2 performed better than other styles - AUD0.0014 per 95% view,
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Life After Death; 2 Does God Exist; 3 Hope	Main learning 1 - Hope, won - AUD0.0020 per 95% view, AUD0.0019 per click
2022	Laos	Format	Which format would interest the audience more; 2 A Stage 1 winner vid; Artblog - Google Drive in Canva - Asian women's faces - No VO; Artblog - Google Drive in Canva - Asian Male faces - No VO; (Render Forest)	Main learning 2 - (Render Forest) performed better than other styles - AUD0.0013 per 95% view,
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirme; 3A Same as Stage 2; 3B With Male VO; 3C With Female VO	"Main learning 3 - With Female VO performed better than other styles - AUD0.0016 per 95% view,
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Way Out; 2 Free; 3 Light	Main learning 1 - Freedom, won - AUD0.009 per 95% view,
2022	Laos	Format	Which format would interest the audience more; 2 A Stage 1 winner vid; Artblog - Google Drive in Canva - Asian women's faces - No VO; Artblog - Google Drive in Canva - Asian Male faces - No VO; Whiteboard Animation (Render Forest)	Main learning 2 - (Whiteboard Animation (Render Forest) performed better than other styles - AUD0.0012 per 95% view,
2022	Laos	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. Stage 2 Winner With Chat with Us Text at the end of the video; 3B. Stage 2 Winner With Learn More Text at the end of the video; 3C. Stage 2 Winner With Click Button Below Text at the end of the video; 3D. Synthesai VO - Full Head; 3E. Synthesai VO - Small Head	"Main learning 3 - Stage 2 Winner With Click Button Below Text at the end of the video performed better than other styles - AUD0.0035 per 95% view,
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Debts due to online games; 2 Family conflicts due to online games; 3 Seeking help over problems due to online games	Main learning 1 - Seeking help over problems due to online games, won - AUD0.0047 per 95% view,
2022	Laos	Format	Which format would interest the audience more; 2A. Stage 1 winner vid; 2B. Artblog - Google Drive in Canva - Asian women's faces - No VO; 2C. Artblog - Google Drive in Canva - Asian Male faces - No VO; 2D. Whiteboard Animation (Render Forest)	Main learning 2 - Artblog - Google Drive in Canva - Asian Male faces - No VO performed better than other styles - AUD0.0044 per 95% view,
2022	Laos	5sec Openings	Stage 3 had been canceled due to FB restriction	Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male
2022	Laos	Scripts	Which topic would interest the audience more; 1 Joblessness; 2. Low-paid job; 3. Unhappiness in job	"Main learning 1 - Joblessness, won - AUD0.0010 per 95% view, 
 
 
 Main learning 2 - Artblog - Google Drive in Canva - Asian Male faces - No VO performed better than other styles - AUD0.0044 per 95% view, 
 
 Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Scripts	Which topic would interest the audience more; 1 Bible shows us the purpose of life; 2. Bible gives us the real Hope; 3. Bible shows us the love of God	Main learning 1 - Bible shows us the love of God, won - AUD0.0010 per 95% view,
2022	Laos	Format	Which format would interest the audience more; 2A. Stage 1 winner vid; 2B. Artblog in Canva - No VO; 2C. Educational Toolkits from Renderforest Animation; 2D. Whiteboard Animation Toolkits (Render Forest Animation)	"Main learning 1 - Bible shows us the love of God, won - AUD0.0010 per 95% view, 
 Main learning 2 - Educational Tookits from Renderforest Animation performed better than other styles - AUD0.0010 per 95% view,"
2022	Laos	Music Testing	Which opening style would interest the audience more To be confirmed; 3A. Same as Stage 2 (Canva Music: Remnants of a Setting Sun); 3B. A Strong Wind (Canva Music: Country Upbeat Music); 3C. Adventure of a Lifetime (Canva Music: Epic Music)	Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male
2022	Laos	Topics that would work 	Which topic would interest the audience more; 1 A Jesus Helps Us Make a Good Choice For Our Lives; 1 B Choices, The Future Changer; 1 C Bad Choices Can Affects Those Around Us	"Main learning 1 - Jesus Helps Us Make a
 Good Choice For Our Lives won - AUD0.0010 per 95% view, 
 Main learning 2 - Whiteboard Animation Toolkits from Renderforest performed better than other styles - AUD0.0001 per 95% view,"
2022	Laos	Format 	Which format would interest the audience more; - Same As Stage 1; - Art blog from Canva; - Whiteboard Animation Toolkits from Renderforest; - Educational Toolkits from Renderforest	Main learning 3 - 25-34 is the most dominant age group, Female performed better than Male
2022	Laos	Topics that would work 	Which topic would interest the audience more; - Peace in Times of Loneliness; - Peace in Times of Financial Strain; - Peace in Times of Hopelessness	"Main learning 1 - Peace in Times of Financial Strain
 won - AUD0.0010 per 95% view, 
 
 Main learning 2 - Simple background with text(Winner of Stage 1) performed better than other styles - AUD0.0010 per 95% view,"
2022	Laos	Format 	Which format would interest the audience more; - Winner From Stage 1; - Custom-made animation videos using canva; - Daily Life Explainer Animation from Bitable; - Whiteboard Animation from Renderforest	Main learning 4 - 25-34 is the most dominant age group, Female performed better than Male
2022	Laos	Topics that would work 	Which topic would interest the audience more; - the good news about Jesus is the best news; - the good news about Jesus is Real; - the good news about Jesus is for everyone; Which format would interest the audience more; - Winner From Stage 1; - Artblog - Canva; - Renderforest - Whiteboard Animation; - Renderforest - Educational Toolkit; Which opening style would interest the audience more To be confirmed; 3A - Winner From Stage 2 -; 3B - Show Jesus Instrumental; 3C - Upbeat Music from Canva	"Main learning 1 -the good news about Jesus is for everyone
 won - AUD0.0001 per 95% view, 
 
 Main learning 2 - Simple background with text(Winner of Stage 1) performed better than other styles - AUD0.0001 per 95% view,"
2022	Laos	Topics that would work 	Which topic would interest the audience more; - Discovering God's gift for us ,and; - God knows each of us.,; - Creator can give you satisfied. ; Which format would interest the audience more; - Winner From Stage 1; - Clay Animation From Biteable; - Whiteboard Animation Toolkits from Renderforest; - Educational Toolkits from Renderforest; Which opening style would interest the audience more 3 seconds opening testing; 3A - Winner From Stage 2 -; 3B - Animated Earth in space opening; 3C - Animated Earth in white background 	"Main learning 1 - discovering God's gift for us 
 won - AUD0.001 per 95% view, 
 Main learning 2 -Clay Animation from Biteable performed better than other styles - AUD0.001 per 95% view, 
 
 
 
 Main learning 3 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Laos	Topics that would work 	Which topic would interest the audience more; - Dried Tears; - Love Can End Your Suffering; - Forgiveness; Which format would interest the audience more; - Winner From Stage 1; - Artblogs; - Clay Animation from Biteable; - Educational Toolkits from Renderforest; Which opening style would interest the audience more 3 seconds opening testing; 3A - Winner From Stage 2 -; 3B - Animated Earth in space opening; 3C - Animated Earth in white background	"Main learning 1 - Dried Tears 
 won - AUD0.0001 per 95% view, 
 Main learning 2 -Text on a simple background- AUD0.001 per 95% view, 
 Main learning 3 - 25-34 is the most dominant age group, Female performed better than Male"
2022	Cambodia	Scripts	Which topic would interest the audience more; 1A. Misconception of a Purposeful Life; 1B.Overcome Life Unsatisfaction; 1C.Feeling purposeless	Overcome Life Unsatisfaction won - AUD0.014 per 95% view, AUD3.02 per click
2022	Cambodia	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Whiteboard Animation - Render Forest; 2D. Educational Video Toolkit - Render Forest	Educational Video Toolkit performed better than other styles - AUD0.018 per 95% view, AUD0.96 per click
2022	Cambodia	"5sec Openings
 Stage 4:File Sizes"	Which opening style would interest the audience more; 3A. As in Stage 2; 3B. Text Scrapbook - No animation; 3C. Text Scrapbook - Pop Animation Page; Stage 4:; 4A. Original Size; 4B. Half Size; 4C. Under 10Mb	25-34 is the most engaged age group
2022	Cambodia	Scripts	Which topic would interest the audience more; 1A. Jealousy; 1B. Abuse; 1C. Betrayal	Jealousy won - AUD0.017 per 95% view
2022	Cambodia	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Synthesia - Woman; 2D. Educational Video Toolkit - Render Forest	"Artblogs - Biteable performed better than other styles - AUD0.017 per 95% view, AUD0.49 per click
 
 
 25-34 is the most engaged age group, male is more dominant than female"
2022	Cambodia	5sec Openings	Which opening style would interest the audience more To be confirmed; 3A. As in Stage 2; 3B. Text Scrapbook - No animation; 3C. Text Scrapbook - Pop Animation Page	25-34 is the most engaged age group, male is more dominant than female
2022	Cambodia	"5sec Openings
 Stage 4:File Sizes"	Which opening style would interest the audience more To be confirmed; 3A. As in Stage 2; 3B. Text Scrapbook - No animation; 3C. Text Scrapbook - Pop Animation Page; Stage 4:; 4A. Original Size; 4B. Half Size; 4C. Under 10Mb	25-34 is the most engaged age group, female is more dominant
2022	Cambodia	Scripts	Which topic would interest the audience more; 1A. Trauma; 1B. Depression; 1C. Suicide	Depression won - AUD0.0010 per 95% video view
2022	Cambodia	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Synthesia - Woman; 2D. Educational Video Toolkit - Render Forest	Animation education performed better than other styles - AUD0.0010 per 95% video view
2022	Cambodia	5sec Openings	Which opening style would interest the audience more; 3A. As in Stage 2; 3B. Text on Artblog - Woman BG - No animation; 3C. Text on Nature BG - Pop Animation Page	25-34 is the most engaged age group, male and female almost equal.
2022	Cambodia	Scripts	Which topic would interest the audience more; 1A. Abandonment Trauma; 1B. Rejection Traum; 1C. Grief Loss Trauma	"Rejection Trauma won - AUD 0.01
 per 95% video view"
2022	Cambodia	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs - Bitable; 2C. Typography Cloud - Canva; 2D. Educational Animation - Render Forest	"Text on Abstract BG wedding invitation performed better than other styles - AUD 0.01
 per 95% video view"
2022	Cambodia	5sec Openings	Which opening style would interest the audience more; 3A. As in Stage 2; 3B. Scrabpp - Pop Animation Page; 3C.Text on Artblog Text On Human- No animation	25-34 is the most engaged age group, male is more dominant than female
2022	Cambodia	Scripts	Which topic would interest the audience more; 1A. no peace and joy; 1B. no one who love and care; 1C. live with hard situation and hurt.	no one who love and care won - AUD 0.01 per 95% video view
2022	Cambodia	Format	Which format would interest the audience more; 2A. Text on Abstract BG as in Stage 1; 2B. Artblogs text on Human - Bitable; 2C. Typography on animated - Canva; 2D. 3D Educational Animation - Render Forest	"Text on Abstract BG Sunset nature. Performed better than other styles - AUD0.06
 per 95% video view"
2022	Cambodia	5sec Openings	Which opening style would interest the audience more; 3A. As in Stage 2 winner video; 3B. Shape- Pop Animation Page; 3C.Text on Artblog Text On Human- No animation	3C 25-34 is the most engaged age group, male and female almost equal.
2022	Cambodia	Stage 1	Which topic would interest the audience more; KH.True Fulfillment; LA. Healing from Suffering; MY. Real Change; TH. Blessed Life; Previouse Winner: New Person	Growth-Water Festival-Real Change (Myanmar)-L- won - AUD0.06 - per 95% video view
